date,product,region,total_sales
2024-09-25,Mouse,South,1335.21
2024-11-27,Headphones,North,53110.56
2024-08-26,Smartphone,South,138706.4
2024-01-09,Tablet,North,388869.52
2024-10-28,Headphones,South,19128.04
2024-10-17,Laptop,South,584324.5
2024-12-21,Smartphone,South,61524.05
2024-05-15,Smartphone,North,299727.95
2024-02-22,Smartphone,East,98830.68
2024-12-10,Smartphone,West,190671.52
2024-12-27,Smartwatch,West,176638.87
2024-10-28,Laptop,East,322591.04
2024-11-17,Smartwatch,North,128604.91
2024-03-26,Laptop,West,108955.54
2024-07-13,Monitor,East,227905.55
2024-11-24,Mouse,North,3750.07
2024-08-16,Keyboard,North,8253.71
2024-08-17,Smartphone,West,61119.01
2024-01-26,Headphones,East,55767.25
2024-07-05,Keyboard,North,13153.54
2024-12-19,Monitor,East,166585.64
2024-01-26,Keyboard,East,8863.67
2024-10-21,Smartwatch,West,21769.96
2024-08-12,Headphones,West,52983.29
2024-04-25,Keyboard,West,24230.72
2024-12-01,Smartwatch,East,117247.37
2024-08-18,Smartphone,East,78542.85
2024-06-12,Smartwatch,East,39612.61
2024-09-29,Keyboard,West,15998.75
2024-11-13,Smartwatch,North,29642.53
2024-06-20,Keyboard,West,34350.69
2024-03-11,Laptop,East,50705.61
2024-07-22,Smartwatch,East,45791.16
2024-04-05,Headphones,West,61163.62
2024-09-15,Mouse,South,17252.88
2024-05-24,Laptop,East,313143.15
2024-08-24,Mouse,South,4018.36
2024-06-26,Smartphone,West,340724.93
2024-03-14,Monitor,West,16738.35
2024-09-17,Tablet,East,225345.31
2024-04-22,Mouse,West,13725.63
2024-03-24,Tablet,West,168988.19
2024-12-05,Smartphone,South,213941.17
2024-09-10,Keyboard,East,11933.67
2024-08-26,Keyboard,West,35380.8
2024-09-26,Tablet,North,121793.1
2024-05-02,Laptop,North,103248.07
2024-09-29,Smartphone,South,51159.54
2024-08-13,Mouse,West,2903.75
2024-07-25,Smartphone,North,146286.0
2024-10-22,Smartwatch,West,117749.4
2024-08-11,Smartwatch,North,94896.41
2024-08-04,Smartwatch,West,44472.24
2024-09-26,Smartphone,West,235679.76
2024-04-01,Monitor,South,40008.16
2024-12-09,Keyboard,North,32264.38
2024-02-12,Smartwatch,East,152044.62
2024-10-19,Monitor,West,257718.09
2024-12-30,Smartwatch,South,167579.29
2024-08-18,Mouse,North,13028.67
2024-02-19,Laptop,South,288638.0
2024-07-17,Keyboard,South,20064.31
2024-05-06,Smartphone,West,228287.88
2024-12-01,Smartwatch,North,44111.16
2024-10-30,Mouse,North,9866.88
2024-04-19,Monitor,East,18738.94
2024-08-25,Tablet,North,326288.56
2024-06-09,Mouse,East,5608.91
2024-11-16,Smartwatch,South,136281.97
2024-06-27,Keyboard,East,29677.6
