order_id,date,product,category,region,salesperson,quantity,unit_price,discount,total_sales
ORD1343,25-09-2024,Mouse,Accessories,SOUTH,Sneha,1,1570.84,0.15,1335.21
ORD1397,27-11-2024,Headphones,Accessories,North,Kiran,11,5082.35,0.05,53110.56
ORD1081,26-08-2024,Smartphone,Electronics,SOUTH,,7,24769,0.2,138706.4
ORD1452,09-01-2024,Tablet,Electronics,North,Ravi,13,29913.04,0,388869.52
ORD1025,28-10-2024,Headphones,Accessories,South,Kiran,4,4782.01,0,19128.04
ORD1317,17-10-2024,Laptop,Electronics,South,,12,54104.12,0.1,584324.5
ORD1080,21-12-2024,Smartphone,Electronics,South,Priya,3,24127.08,0.15,61524.05
ORD1117,15-05-2024,Smartphone,Electronics,North,Priya,13,24269.47,0.05,299727.95
ORD1442,22-02-2024,Smartphone,Electronics,East,Arjun,4,24707.67,,98830.68
ORD1338,10-12-2024,Smartphone,Electronics,,Priya,10,23833.94,0.2,190671.52
ORD1237,27-12-2024,Smartwatch,Accessories,WEST,Sneha,15,12395.71,,176638.87
ORD1177,28-10-2024,Laptop,Electronics,East,Ravi,6,56594.92,0.05,322591.04
ORD1158,17-11-2024,Smartwatch,Accessories,North,Ravi,11,12306.69,0.05,128604.91
ORD1034,26-03-2024,Laptop,Electronics,West,Sneha,2,57345.02,0.05,108955.54
ORD1145,13-07-2024,Monitor,Electronics,East,Sneha,14,20348.71,0.2,227905.55
ORD1359,24-11-2024,Mouse,Accessories,North,Kiran,3,1562.53,0.2,3750.07
ORD1255,16-08-2024,Keyboard,Accessories,North,Arjun,3,3056.93,0.1,8253.71
ORD1381,17-08-2024,Smartphone,Electronics,West,Ravi,3,23968.24,0.15,61119.01
ORD1173,26-01-2024,Headphones,Accessories,East,Priya,11,5069.75,0,55767.25
ORD1391,05-07-2024,Keyboard,Accessories,North,,5,3094.95,0.15,13153.54
ORD1153,19-12-2024,Monitor,Electronics,East,Sneha,10,19598.31,0.15,166585.64
ORD1087,26-01-2024,Keyboard,Accessories,East,Sneha,3,3110.06,0.05,8863.67
ORD1093,21-10-2024,Smartwatch,Accessories,,Sneha,2,12094.42,0.1,21769.96
ORD1024,12-08-2024,Headphones,Accessories,West,Ravi,12,4905.86,0.1,52983.29
ORD1115,25-04-2024,Keyboard,Accessories,West,Sneha,10,3028.84,0.2,24230.72
ORD1306,01-12-2024,Smartwatch,Accessories,East,Sneha,12,11494.84,0.15,117247.37
