date,product,category,region,salesperson,quantity,unit_price,discount,total_sales
01-01-2024,Keyboard,Accessories,East,Anjali,3,1914.27,0.15,4881.39
13-01-2024,Laptop,Electronics,South,Anjali,1,67791.01,0.05,64401.46
14-01-2024,Smartphone,Electronics,North,Rahul,4,7274.73,0,29098.92
18-01-2024,Laptop,Electronics,South,Sneha,2,31596.03,0,63192.06
19-01-2024,Laptop,Electronics,East,Sneha,2,21011.0,0,42022.0
20-01-2024,Tablet,Electronics,South,Anjali,5,2493.67,0.1,11221.52
24-01-2024,Keyboard,Accessories,East,Aarav,1,3756.43,0.1,3380.79
27-01-2024,Tablet,Electronics,South,Priya,3,4500.19,0,13500.57
29-01-2024,Laptop,Electronics,North,Sneha,3,15782.25,0.05,44979.41
02-02-2024,Laptop,Electronics,East,Ravi,3,16979.85,0,50939.55
03-02-2024,Smartwatch,Wearables,North,Sneha,2,6464.92,0.15,10990.36
05-02-2024,Monitor,Accessories,West,Rahul,5,2862.36,0.15,12165.03
10-02-2024,Keyboard,Accessories,East,Sneha,3,1157.52,0.05,3298.93
10-02-2024,Keyboard,Accessories,West,Priya,5,544.47,0.15,2314.0
11-02-2024,Mouse,Accessories,East,Aarav,4,384.97,0.05,1462.89
11-02-2024,Tablet,Electronics,West,Ravi,4,3080.56,0.1,11090.02
17-02-2024,Smartphone,Electronics,West,Sneha,5,3231.07,0.05,15347.58
21-02-2024,Mouse,Accessories,South,Aarav,3,536.79,0.05,1529.85
24-02-2024,Mouse,Accessories,South,Priya,4,692.34,0.15,2353.96
26-02-2024,Tablet,Electronics,North,Kiran,5,3683.14,0,18415.7
27-02-2024,Smartphone,Electronics,South,Aarav,3,5119.19,0.05,14589.69
28-02-2024,Laptop,Electronics,South,Rahul,3,17344.98,0,52034.94
02-03-2024,Smartphone,Electronics,South,Kiran,1,27442.43,0,27442.43
03-03-2024,Mouse,Accessories,West,Rahul,4,345.2,0,1380.8
04-03-2024,Smartphone,Electronics,South,Ravi,3,9420.66,0.15,24022.68
07-03-2024,Monitor,Accessories,South,Priya,3,3969.83,0.15,10123.07
09-03-2024,Tablet,Electronics,West,Ravi,1,16973.04,0,16973.04
13-03-2024,Tablet,Electronics,North,Priya,4,5709.67,0.1,20554.81
13-03-2024,Monitor,Accessories,West,Priya,3,3876.26,0.1,10465.9
16-03-2024,Keyboard,Accessories,South,Sneha,2,2044.02,0.1,3679.24
17-03-2024,Monitor,Accessories,North,Rahul,2,6495.66,0.05,12341.75
20-03-2024,Keyboard,Accessories,North,Ravi,3,1344.45,0.15,3428.35
21-03-2024,Laptop,Electronics,North,Sneha,1,57525.33,0.05,54649.06
31-03-2024,Monitor,Accessories,South,Ravi,3,5204.85,0,15614.55
07-04-2024,Smartwatch,Wearables,South,Rahul,4,3021.37,0.1,10876.93
13-04-2024,Headphones,Accessories,West,Kiran,1,7740.59,0.05,7353.56
18-04-2024,Keyboard,Accessories,North,Aarav,4,1380.86,0,5523.44
18-04-2024,Tablet,Electronics,West,Sneha,3,6004.72,0,18014.16
27-04-2024,Smartphone,Electronics,East,Ravi,4,4084.9,0.1,14705.64
27-04-2024,Headphones,Accessories,North,Ravi,1,6065.21,0,6065.21
01-05-2024,Tablet,Electronics,South,Ravi,3,6286.59,0.15,16030.8
04-05-2024,Mouse,Accessories,South,Anjali,2,1364.65,0,2729.3
05-05-2024,Laptop,Electronics,South,Aarav,1,67872.96,0.1,61085.66
09-05-2024,Smartwatch,Wearables,South,Rahul,2,7233.04,0,14466.08
11-05-2024,Monitor,Accessories,South,Vikram,3,5117.27,0.05,14584.22
21-05-2024,Laptop,Electronics,East,Sneha,1,60451.31,0.1,54406.18
22-05-2024,Mouse,Accessories,North,Aarav,2,689.9,0.05,1310.81
23-05-2024,Monitor,Accessories,East,Aarav,5,2671.23,0.15,11352.73
25-05-2024,Monitor,Accessories,West,Rahul,5,2951.23,0,14756.15
31-05-2024,Keyboard,Accessories,South,Aarav,1,2604.29,0.05,2474.08
05-06-2024,Smartphone,Electronics,East,Rahul,3,8758.0,0.05,24960.3
18-06-2024,Headphones,Accessories,East,Priya,5,2295.27,0,11476.35
18-06-2024,Laptop,Electronics,North,Kiran,1,95883.69,0.05,91089.51
20-06-2024,Smartwatch,Wearables,North,Kiran,2,6421.6,0.1,11558.88
20-06-2024,Monitor,Accessories,North,Aarav,1,21808.56,0.1,19627.7
26-06-2024,Monitor,Accessories,East,Aarav,3,5515.94,0.05,15720.43
28-06-2024,Keyboard,Accessories,North,Ravi,2,2180.92,0.15,3707.56
28-06-2024,Laptop,Electronics,West,Ravi,3,26727.82,0.15,68155.94
02-07-2024,Mouse,Accessories,West,Anjali,2,1821.98,0.1,3279.56
09-07-2024,Monitor,Accessories,North,Anjali,4,5443.06,0.05,20683.63
16-07-2024,Smartwatch,Wearables,East,Rahul,1,11014.11,0.15,9361.99
16-07-2024,Smartwatch,Wearables,West,Anjali,5,3770.37,0.15,16024.07
20-07-2024,Keyboard,Accessories,East,Rahul,3,1621.72,0,4865.16
21-07-2024,Tablet,Electronics,North,Vikram,1,17641.09,0.15,14994.93
25-07-2024,Mouse,Accessories,East,Anjali,3,781.67,0.15,1993.26
01-08-2024,Tablet,Electronics,West,Priya,4,7246.04,0.05,27534.95
02-08-2024,Mouse,Accessories,East,Aarav,5,621.79,0.15,2642.61
03-08-2024,Smartwatch,Wearables,East,Vikram,5,3045.5,0.05,14466.12
04-08-2024,Smartphone,Electronics,East,Ravi,4,5365.33,0,21461.32
09-08-2024,Keyboard,Accessories,West,Kiran,4,910.56,0.1,3278.02
09-08-2024,Smartwatch,Wearables,East,Sneha,3,4127.34,0.05,11762.92
11-08-2024,Smartwatch,Wearables,North,Ravi,5,1982.74,0.05,9418.01
13-08-2024,Monitor,Accessories,West,Vikram,4,5700.12,0.1,20520.43
27-08-2024,Tablet,Electronics,North,Sneha,1,21395.11,0.15,18185.84
28-08-2024,Keyboard,Accessories,North,Anjali,3,1279.3,0.1,3454.11
03-09-2024,Tablet,Electronics,South,Priya,5,5570.38,0,27851.9
06-09-2024,Tablet,Electronics,North,Priya,5,5431.54,0.15,23084.04
08-09-2024,Laptop,Electronics,East,Priya,5,14395.2,0,71976.0
08-09-2024,Keyboard,Accessories,West,Ravi,5,1432.57,0.05,6804.71
11-09-2024,Mouse,Accessories,South,Kiran,1,3015.66,0,3015.66
13-09-2024,Headphones,Accessories,South,Anjali,4,3808.16,0.05,14471.01
13-09-2024,Headphones,Accessories,South,Anjali,5,2593.21,0,12966.05
13-09-2024,Mouse,Accessories,West,Vikram,5,704.57,0.15,2994.42
15-09-2024,Monitor,Accessories,South,Aarav,4,4884.26,0.05,18560.19
18-09-2024,Tablet,Electronics,West,Rahul,4,5026.87,0.1,18096.73
20-09-2024,Smartphone,Electronics,East,Aarav,4,10602.05,0.05,40287.79
20-09-2024,Laptop,Electronics,East,Anjali,5,18974.83,0.05,90130.44
22-09-2024,Monitor,Accessories,North,Priya,5,3859.94,0.05,18334.72
28-09-2024,Tablet,Electronics,North,Sneha,5,5304.21,0.15,22542.89
30-09-2024,Headphones,Accessories,East,Vikram,4,4541.75,0.1,16350.3
04-10-2024,Smartphone,Electronics,South,Anjali,4,10966.69,0.15,37286.75
04-10-2024,Smartphone,Electronics,West,Vikram,1,34662.73,0.15,29463.32
05-10-2024,Headphones,Accessories,East,Rahul,2,6588.99,0.1,11860.18
09-10-2024,Keyboard,Accessories,North,Priya,5,1024.53,0,5122.65
10-10-2024,Headphones,Accessories,East,Ravi,1,16420.55,0.05,15599.52
15-10-2024,Tablet,Electronics,East,Kiran,3,5876.13,0,17628.39
16-10-2024,Tablet,Electronics,East,Priya,2,10369.1,0.15,17627.47
19-10-2024,Mouse,Accessories,West,Priya,2,1741.12,0.15,2959.9
23-10-2024,Smartwatch,Wearables,West,Ravi,1,20931.88,0,20931.88
30-10-2024,Smartwatch,Wearables,East,Vikram,3,6446.4,0,19339.2
